fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_RESULT_MSG,BUS_STN_ID,BUS_ARS_ID,BUS_STN_NM,BUS_STN_X,BUS_STN_Y
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000384,1009,광화문역,126.9763534416,37.5701416811
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000385,1010,광화문역,126.9778802991,37.5702396638
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000022,1117,경복궁,126.9787471496,37.5755767894
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000023,1118,광화문역2번출구.KT광화문지사,126.9774162769,37.5723209262
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000025,1120,광화문역6번출구,126.97640724,37.5700448348
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000030,1125,광화문역7번출구,126.975837,37.570365
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000031,1126,세종문화회관,126.9769975778,37.5736489318
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000034,1129,광화문역6번출구.광화문빌딩,126.9768637419,37.5695035518
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000035,1130,덕성여중고,126.981972246,37.5757693863
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000174,1272,세종문화회관,126.9770167126,37.5733655664
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000419,1280,경복궁역(효자로입구),126.9743023448,37.576709505
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100900056,1551,경복궁,126.9793377561,37.576950157
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100900179,1720,법련사,126.9796650539,37.5765879752
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000329,1762,광화문,126.9755694982,37.5703374879
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000412,1907,세종문화회관,126.9769120216,37.5731388499
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,100000402,1911,세종문화회관,126.9770139456,37.5731558567
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000037,2134,시청역11번출구,126.975314,37.563722
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000038,2135,시청.서소문청사,126.9749539314,37.5635248407
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000039,2137,서울신문사,126.9773647051,37.5683632936
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000338,2247,청계광장,126.978207,37.569011
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000290,2286,시청앞.덕수궁,126.9768355729,37.5662122834
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101900009,2502,조선일보,126.976883066,37.5687339805
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101900011,2503,시청역,126.97701,37.566031
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101900006,2507,시청역1호선.서울시청,126.977339075,37.5673960903
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000301,2641,서울광장,126.978885,37.565352
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000275,2643,광화문코리아나호텔,126.97690745,37.5684013914
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000226,2661,광화문,126.9769067873,37.5687990002
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000227,2662,시청.덕수궁,126.976921,37.566254
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000279,2699,시청역더플라자호텔,126.978066,37.564836
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000286,2706,시청.서울신문사,126.9773647244,37.568299316
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000316,2901,광화문,126.9768853297,37.5689435666
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,정상 호출되었습니다.,101000317,2902,덕수궁,126.976925,37.566106
