fetched_at,place_name,AREA_NM,AREA_CD,_key_used,BUS_RESULT_MSG,BUS_STN_ID,BUS_ARS_ID,BUS_STN_NM,BUS_STN_X,BUS_STN_Y
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101900009,2502,조선일보,126.976883066,37.5687339805
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101900011,2503,시청역,126.97701,37.566031
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101900006,2507,시청역1호선.서울시청,126.977339075,37.5673960903
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000301,2641,서울광장,126.978885,37.565352
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000275,2643,광화문코리아나호텔,126.97690745,37.5684013914
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000226,2661,광화문,126.9769067873,37.5687990002
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000227,2662,시청.덕수궁,126.976921,37.566254
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000279,2699,시청역더플라자호텔,126.978066,37.564836
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000286,2706,시청.서울신문사,126.9773647244,37.568299316
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000316,2901,광화문,126.9768853297,37.5689435666
2026-06-18T01:25:41.128559+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,정상 호출되었습니다.,101000317,2902,덕수궁,126.976925,37.566106
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,100000386,1011,종로1가,126.9810660928,37.5701482455
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,100000387,1012,종로1가,126.9816283242,37.5702710116
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,100000388,1013,종로2가,126.9849902588,37.5701723774
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,100000078,1174,청계1가.장통교,126.9849267193,37.568684389
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,100900116,1683,종각역.YMCA,126.98508926,37.5703976388
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,100900106,1727,인사동들머리.3.1독립선언터,126.983296967,37.5719470235
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,100900211,1888,종각.공평유적전시관,126.9832427053,37.5715937879
2026-06-18T01:25:41.128559+09:00,보신각,보신각,POI010,KEY_3,정상 호출되었습니다.,101000313,1912,종각역,126.9828944171,37.5693799579
2026-06-18T01:25:41.128559+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,정상 호출되었습니다.,124900039,25583,서울암사동유적,127.1311704207,37.5593681789
