fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME,CMRCL_RSB
2026-07-20T00:08:00.695786+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,한산한,5,30000,40000,80.0,20.0,0.0,76.7,23.3,0.0,0.0,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,익선동,익선동,POI116,KEY_1,보통,10,1000000,1100000,96.7,3.3,0.0,17.1,14.6,53.4,15.0,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,인사동,인사동,POI078,KEY_2,한산한,5,60000,70000,9.1,90.9,0.0,4.5,4.5,0.0,90.9,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,한산한,21,550000,600000,64.5,35.5,0.0,43.2,40.3,13.1,0.3,3.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,한산한,15,70000,80000,88.0,12.0,5.3,37.3,44.0,0.0,0.0,13.3,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,한산한,5,100000,150000,57.6,42.4,0.0,45.3,30.2,10.8,13.7,0.0,100.0,0.0,20260719 2310,
2026-07-20T00:08:00.695786+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,한산한,4,20000,30000,74.1,25.9,0.0,25.9,11.1,51.9,11.1,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,한산한,8,80000,90000,96.3,3.7,0.0,4.9,68.3,24.4,2.4,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4,바쁜,7,150000,200000,5.6,94.4,0.0,15.2,2.5,0.0,48.2,34.0,100.0,0.0,20260719 2130,
2026-07-20T00:08:00.695786+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1,한산한,5,20000,30000,60.7,39.3,0.0,0.0,46.4,32.1,21.4,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,가산디지털단지역,가산디지털단지역,POI013,KEY_2,한산한,5,10000,20000,52.9,47.1,0.0,5.9,94.1,0.0,0.0,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,강남역,강남역,POI014,KEY_3,한산한,42,450000,500000,27.0,73.0,0.0,68.1,21.7,0.9,7.3,2.0,95.1,4.9,20260719 2350,
2026-07-20T00:08:00.695786+09:00,건대입구역,건대입구역,POI015,KEY_4,한산한,36,900000,950000,61.2,38.8,2.8,20.2,40.4,25.1,6.1,5.4,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,고덕역,고덕역,POI016,KEY_1,한산한,5,20000,30000,4.2,95.8,4.2,16.7,79.2,0.0,0.0,0.0,100.0,0.0,20260719 2300,
2026-07-20T00:08:00.695786+09:00,고속터미널역,고속터미널역,POI017,KEY_2,한산한,5,10000,20000,33.3,66.7,11.1,77.8,0.0,11.1,0.0,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,교대역,교대역,POI018,KEY_3,한산한,7,60000,70000,49.3,50.7,0.0,20.3,63.8,4.3,11.6,0.0,100.0,0.0,20260719 2310,
2026-07-20T00:08:00.695786+09:00,구로디지털단지역,구로디지털단지역,POI019,KEY_4,한산한,16,400000,450000,69.1,30.9,0.0,1.9,47.2,28.3,2.1,20.5,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,구로역,구로역,POI020,KEY_1,한산한,5,10000,20000,60.0,40.0,0.0,0.0,73.3,0.0,0.0,26.7,100.0,0.0,20260719 2200,
2026-07-20T00:08:00.695786+09:00,군자역,군자역,POI021,KEY_2,보통,10,400000,450000,77.4,22.6,0.0,60.6,10.4,29.0,0.0,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,대림역,대림역,POI023,KEY_3,한산한,5,30000,40000,81.8,18.2,0.0,0.0,69.7,9.1,9.1,12.1,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,동대문역,동대문역,POI024,KEY_4,한산한,5,30000,40000,100.0,0.0,0.0,14.7,44.1,41.2,0.0,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,뚝섬역,뚝섬역,POI025,KEY_1,한산한,6,20000,30000,69.2,30.8,0.0,61.5,38.5,0.0,0.0,0.0,100.0,0.0,20260719 2340,
2026-07-20T00:08:00.695786+09:00,미아사거리역,미아사거리역,POI026,KEY_2,한산한,5,10000,20000,61.1,38.9,0.0,50.0,33.3,16.7,0.0,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,발산역,발산역,POI027,KEY_3,한산한,18,450000,500000,48.6,51.4,0.0,49.5,38.8,1.9,9.8,0.0,97.2,2.8,20260719 2350,
2026-07-20T00:08:00.695786+09:00,사당역,사당역,POI029,KEY_4,한산한,16,200000,250000,40.2,59.8,2.5,45.2,13.8,0.0,35.1,3.3,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,서울대입구역,서울대입구역,POI031,KEY_2,한산한,16,200000,250000,55.9,44.1,0.0,44.5,44.5,6.4,4.7,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,서울식물원·마곡나루역,서울식물원·마곡나루역,POI032,KEY_3,한산한,6,20000,30000,83.3,16.7,4.2,0.0,70.8,8.3,16.7,0.0,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,서울역,서울역,POI033,KEY_4,한산한,10,150000,200000,59.5,40.5,0.0,0.0,59.5,16.2,0.0,24.3,100.0,0.0,20260719 2200,
2026-07-20T00:08:00.695786+09:00,선릉역,선릉역,POI034,KEY_1,한산한,10,70000,80000,82.3,17.7,0.0,2.5,17.7,15.2,22.8,41.8,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,한산한,8,100000,150000,70.3,29.7,0.0,13.5,46.8,29.7,0.0,9.9,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,수유역,수유역,POI036,KEY_3,한산한,13,300000,350000,35.4,64.6,1.3,20.7,2.6,27.2,0.0,48.2,100.0,0.0,20260719 2350,
2026-07-20T00:08:00.695786+09:00,신논현역·논현역,신논현역·논현역,POI037,KEY_2,한산한,5,150000,200000,53.5,46.5,0.0,0.0,52.3,0.0,47.7,0.0,49.2,50.8,20260719 2350,
