fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
2026-06-17T01:42:54.352202+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,4,50000,60000,60.0,40.0,0.0,0.0,100.0,0.0,0.0,0.0,10.2,89.8,20260617 0050
2026-06-17T01:42:54.352202+09:00,보신각,보신각,POI010,KEY_3,한산한,11,250000,300000,39.3,60.7,0.0,26.7,24.3,35.9,13.1,0.0,74.2,25.8,20260616 2350
2026-06-17T01:42:54.352202+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,4,20000,30000,30.0,70.0,0.0,0.0,55.0,0.0,45.0,0.0,100.0,0.0,20260616 2300
2026-06-17T01:42:54.352202+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,한산한,12,80000,90000,69.0,31.0,0.0,9.5,53.6,13.1,9.5,14.3,100.0,0.0,20260617 0120
2026-06-17T01:42:54.352202+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,8,50000,60000,66.7,33.3,0.0,25.0,0.0,0.0,16.7,58.3,48.0,52.0,20260617 0120
2026-06-17T01:42:54.352202+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,한산한,6,20000,30000,39.1,60.9,0.0,52.2,47.8,0.0,0.0,0.0,100.0,0.0,20260617 0120
2026-06-17T01:42:54.352202+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,한산한,12,100000,150000,64.2,35.8,0.0,16.7,51.7,7.5,24.2,0.0,84.0,16.0,20260617 0120
2026-06-17T01:42:54.352202+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,한산한,10,90000,100000,100.0,0.0,0.0,6.4,29.5,19.2,44.9,0.0,86.7,13.3,20260617 0120
2026-06-17T01:42:54.352202+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,한산한,36,1000000,1100000,64.7,35.3,0.0,55.1,16.2,12.0,16.8,0.0,89.4,10.6,20260617 0120
2026-06-17T01:42:54.352202+09:00,가락시장,가락시장,POI058,KEY_2,한산한,11,150000,200000,77.4,22.6,0.0,0.0,34.7,42.7,16.1,6.5,70.5,29.5,20260617 0130
2026-06-17T01:42:54.352202+09:00,가로수길,가로수길,POI059,KEY_3,한산한,4,150000,200000,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,64.1,35.9,20260617 0130
2026-06-17T01:42:54.352202+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,4,200000,250000,92.2,7.8,0.0,0.0,7.8,0.0,92.2,0.0,36.9,63.1,20260616 2220
2026-06-17T01:42:54.352202+09:00,김포공항,김포공항,POI061,KEY_1,한산한,4,0,10000,25.0,75.0,0.0,87.5,0.0,0.0,12.5,0.0,100.0,0.0,20260616 2240
2026-06-17T01:42:54.352202+09:00,남대문시장,남대문시장,POI115,KEY_2,한산한,6,40000,50000,100.0,0.0,0.0,0.0,0.0,45.0,10.0,45.0,100.0,0.0,20260617 0000
2026-06-17T01:42:54.352202+09:00,노량진,노량진,POI063,KEY_3,한산한,5,30000,40000,68.8,31.3,0.0,6.3,93.8,0.0,0.0,0.0,45.9,54.1,20260617 0130
2026-06-17T01:42:54.352202+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,한산한,4,10000,20000,52.9,47.1,0.0,0.0,82.4,17.6,0.0,0.0,100.0,0.0,20260616 2200
2026-06-17T01:42:54.352202+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,한산한,4,20000,30000,75.0,25.0,0.0,25.0,75.0,0.0,0.0,0.0,100.0,0.0,20260617 0110
2026-06-17T01:42:54.352202+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,한산한,4,10000,20000,57.1,42.9,0.0,0.0,35.7,0.0,64.3,0.0,100.0,0.0,20260616 2350
2026-06-17T01:42:54.352202+09:00,서촌,서촌,POI067,KEY_3,한산한,5,20000,30000,73.9,26.1,0.0,26.1,39.1,26.1,8.7,0.0,100.0,0.0,20260616 2330
2026-06-17T01:42:54.352202+09:00,성수카페거리,성수카페거리,POI068,KEY_4,한산한,5,80000,90000,94.4,5.6,0.0,3.4,25.8,70.8,0.0,0.0,100.0,0.0,20260617 0120
2026-06-17T01:42:54.352202+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,한산한,5,30000,40000,74.3,25.7,0.0,25.7,57.1,0.0,11.4,5.7,100.0,0.0,20260617 0110
2026-06-17T01:42:54.352202+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,한산한,5,100000,150000,92.0,8.0,0.0,15.0,5.3,79.6,0.0,0.0,100.0,0.0,20260617 0000
2026-06-17T01:42:54.352202+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,한산한,8,1700000,1800000,99.5,0.5,0.0,38.9,4.6,0.1,19.9,36.4,100.0,0.0,20260617 0120
2026-06-17T01:42:54.352202+09:00,여의도,여의도,POI072,KEY_4,한산한,6,30000,40000,0.0,100.0,0.0,21.1,42.1,0.0,36.8,0.0,48.7,51.3,20260617 0130
2026-06-17T01:42:54.352202+09:00,연남동,연남동,POI073,KEY_1,한산한,10,60000,70000,72.7,27.3,0.0,30.3,40.9,0.0,12.1,16.7,100.0,0.0,20260617 0130
2026-06-17T01:42:54.352202+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,한산한,10,550000,600000,70.7,29.3,0.0,1.0,53.6,30.2,15.1,0.0,100.0,0.0,20260617 0120
2026-06-17T01:42:54.352202+09:00,용리단길,용리단길,POI076,KEY_3,한산한,4,40000,50000,74.5,25.5,0.0,25.5,68.1,0.0,6.4,0.0,100.0,0.0,20260617 0050
2026-06-17T01:42:54.352202+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,한산한,4,50000,60000,25.0,75.0,0.0,32.1,67.9,0.0,0.0,0.0,100.0,0.0,20260617 0130
2026-06-17T01:42:54.352202+09:00,익선동,익선동,POI116,KEY_1,한산한,6,30000,40000,28.1,71.9,0.0,34.4,56.3,0.0,0.0,9.4,100.0,0.0,20260617 0130
2026-06-17T01:42:54.352202+09:00,인사동,인사동,POI078,KEY_2,한산한,4,20000,30000,100.0,0.0,0.0,8.7,17.4,0.0,43.5,30.4,100.0,0.0,20260617 0050
2026-06-17T01:42:54.352202+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,한산한,8,50000,60000,36.7,63.3,0.0,43.3,43.3,0.0,13.3,0.0,100.0,0.0,20260617 0130
2026-06-17T01:42:54.352202+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,한산한,11,600000,650000,70.5,29.5,0.0,29.5,37.9,13.7,17.4,1.6,31.6,68.4,20260617 0130
2026-06-17T01:42:54.352202+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,한산한,4,30000,40000,74.3,25.7,0.0,68.6,25.7,5.7,0.0,0.0,100.0,0.0,20260617 0120
