fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
2026-06-09T00:19:04.298157+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,14,500000,550000,85.7,14.3,0.0,10.2,9.1,0.0,80.7,0.0,76.8,23.2,20260608 2350
2026-06-09T00:19:04.298157+09:00,보신각,보신각,POI010,KEY_3,보통,9,800000,850000,64.3,35.7,0.0,69.8,13.0,17.2,0.0,0.0,86.0,14.0,20260608 2350
2026-06-09T00:19:04.298157+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,6,30000,40000,100.0,0.0,0.0,13.5,24.3,35.1,27.0,0.0,100.0,0.0,20260608 2330
2026-06-09T00:19:04.298157+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,한산한,18,90000,100000,73.6,26.4,0.0,24.2,54.9,1.1,19.8,0.0,100.0,0.0,20260609 0000
2026-06-09T00:19:04.298157+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,11,30000,40000,60.0,40.0,0.0,31.4,0.0,22.9,45.7,0.0,92.3,7.7,20260609 0000
2026-06-09T00:19:04.298157+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,한산한,19,450000,500000,62.4,37.6,0.0,33.3,39.6,6.7,19.6,0.9,100.0,0.0,20260609 0000
2026-06-09T00:19:04.298157+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,한산한,10,50000,60000,66.4,33.6,2.7,21.2,21.2,43.4,4.4,7.1,100.0,0.0,20260609 0000
2026-06-09T00:19:04.298157+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,한산한,20,100000,150000,55.1,44.9,0.0,26.0,29.9,12.6,28.3,3.1,100.0,0.0,20260609 0000
2026-06-09T00:19:04.298157+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,보통,60,1700000,1800000,54.8,45.2,1.5,37.1,35.0,19.4,2.9,4.0,98.4,1.6,20260609 0000
2026-06-09T00:19:04.298157+09:00,가락시장,가락시장,POI058,KEY_2,보통,5,550000,600000,0.0,100.0,0.0,0.0,0.0,19.4,80.6,0.0,12.1,87.9,20260609 0000
2026-06-09T00:19:04.298157+09:00,가로수길,가로수길,POI059,KEY_3,한산한,14,600000,650000,96.0,4.0,0.0,3.3,50.6,45.4,0.6,0.0,75.3,24.7,20260609 0000
2026-06-09T00:19:04.298157+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,5,30000,40000,72.2,27.8,0.0,16.7,11.1,33.3,0.0,38.9,100.0,0.0,20260608 2240
2026-06-09T00:19:04.298157+09:00,김포공항,김포공항,POI061,KEY_1,한산한,5,20000,30000,56.5,43.5,0.0,0.0,39.1,0.0,4.3,56.5,100.0,0.0,20260608 2220
2026-06-09T00:19:04.298157+09:00,남대문시장,남대문시장,POI115,KEY_2,한산한,5,20000,30000,100.0,0.0,0.0,0.0,7.4,92.6,0.0,0.0,100.0,0.0,20260608 2300
2026-06-09T00:19:04.298157+09:00,노량진,노량진,POI063,KEY_3,한산한,12,60000,70000,83.1,16.9,0.0,47.7,9.2,0.0,35.4,7.7,100.0,0.0,20260609 0000
