fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LINK_ID,ROAD_NM,START_ND_CD,START_ND_NM,START_ND_XY,END_ND_CD,END_ND_NM,END_ND_XY,DIST,SPD,IDX,XYLIST
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000014402,삼청로,1000022702,국군서울지구병원,126.9799873332334244_37.5799937943622950,1000021000,대한출판문화협회,126.9796046197648423_37.5765527706146756,385.0,37.5,원활,126.9796046197648423_37.5765527706146756|126.9796327193578946_37.5780249082326065|126.9796683669145381_37.5788672429607900|126.9796830227134734_37.5790263448128528|126.9797002616005130_37.5791202376619609|126.9797502489418548_37.5793006189381842|126.9799873332334244_37.5799937943622950
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000014403,삼청로,1000023002,갤러리스케이프,126.9802726364854522_37.5809789975197504,1000022701,국군서울지구병원,126.9800209872343402_37.5800986304131186,100.0,34.0,원활,126.9800209872343402_37.5800986304131186|126.9802478003755937_37.5808503388031028|126.9802726364854522_37.5809789975197504
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015101,효자로,1000219200,통의동 7-2,126.9738823732247113_37.5782737331220034,1000022103,한글전각갤러리,126.9737664393316123_37.5793405707998147,119.0,11.0,정체,126.9737664393316123_37.5793405707998147|126.9738823732247113_37.5782737331220034
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015102,효자로,1000041400,창성동 16,126.9736432808576581_37.5805908651879150,1000023603,창성동 75-1,126.9736167411290211_37.5817495935669825,129.0,15.0,서행,126.9736167411290211_37.5817495935669825|126.9736341888375790_37.5807097019062013|126.9736432808576581_37.5805908651879150
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015103,효자로,1000023604,세종로 1-82,126.9736148980526167_37.5818577441157089,1000005203,효자동삼거리,126.9736127255228695_37.5835625507457465,189.0,15.0,서행,126.9736127255228695_37.5835625507457465|126.9735913171579114_37.5832181223740136|126.9736148980526167_37.5818577441157089
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015201,효자로,1000022102,한글전각갤러리,126.9739017858953645_37.5793498869892204,1000019301,정부서울청사사거리,126.9743957935852450_37.5758074664167268,396.0,27.0,원활,126.9743957935852450_37.5758074664167268|126.9743764184428017_37.5760755345660726|126.9743092662572082_37.5764778948295017|126.9741719066146146_37.5773009081164844|126.9741268698984413_37.5775378120208856|126.9740611119599407_37.5778837117652031|126.9740177174622744_37.5782830491677231|126.9739017858953645_37.5793498869892204
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015202,효자로,1000023602,세종로 1-39,126.9737525850962072_37.5817510371078143,1000022101,한글전각갤러리,126.9738905991571443_37.5794569415239579,255.0,35.0,원활,126.9738905991571443_37.5794569415239579|126.9738519824120146_37.5798414672260890|126.9737879055856666_37.5804795024973970|126.9737788834196408_37.5805974360917929|126.9737699881223705_37.5807137109477551|126.9737525850962072_37.5817510371078143
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015203,효자로,1000005202,효자동삼거리,126.9737472613430214_37.5835385999729326,1000023601,세종로 1-39,126.9737507411007016_37.5818592353335603,186.0,27.0,원활,126.9737507411007016_37.5818592353335603|126.9737272227124265_37.5832161948422154|126.9737472613430214_37.5835385999729326
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015401,자하문로,1000140900,통의동 139,126.9725715057905830_37.5765777524989346,1000019801,경복궁역사거리,126.9726968257656665_37.5759522364072183,70.0,32.0,원활,126.9726968257656665_37.5759522364072183|126.9726385507227491_37.5763288934255186|126.9725895796281208_37.5765259070172135|126.9725715057905830_37.5765777524989346
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000015800,북촌로5길,1000110800,소격동 101-1,126.9816632165415768_37.5796980355060555,1000022702,국군서울지구병원,126.9799873332334244_37.5799937943622950,152.0,25.0,원활,126.9799873332334244_37.5799937943622950|126.9811117769615265_37.5798023119298961|126.9813717539606586_37.5797580385712706|126.9816632165415768_37.5796980355060555
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000016301,삼청로,1000023001,갤러리스케이프,126.9802926936486500_37.5811058372642535,1000023403,브라질대사관,126.9810263784892186_37.5815445739605920,82.0,8.0,정체,126.9810263784892186_37.5815445739605920|126.9809131169670025_37.5814523264612390|126.9807572607189741_37.5813324212478079|126.9805732045222584_37.5812254848848113|126.9805004045640970_37.5811831880586382|126.9802926936486500_37.5811058372642535
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000016401,삼청로,1000154400,소격동 5-2,126.9806533091713163_37.5811381602125181,1000023002,갤러리스케이프,126.9802726364854522_37.5809789975197504,38.0,25.0,원활,126.9802726364854522_37.5809789975197504|126.9805698902694644_37.5810896934890764|126.9806533091713163_37.5811381602125181
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000016500,청와대로,1000023004,갤러리스케이프,126.9801577660451670_37.5811184473203284,1000024202,퐁데자르갤러리,126.9792888757798295_37.5833973114764888,283.0,28.0,원활,126.9792888757798295_37.5833973114764888|126.9794326695444795_37.5833409548265038|126.9795985399564842_37.5832476848462562|126.9797349654737388_37.5831482053396115|126.9798535787143550_37.5830268942675616|126.9799783199628109_37.5828376834460514|126.9800830519028665_37.5826410034803118|126.9801523342807030_37.5824206537665262|126.9801756947906881_37.5821819448641676|126.9801669773254389_37.5812814489405298|126.9801611478268342_37.5811413659670990|126.9801577660451670_37.5811184473203284
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000016600,청와대로,1000024201,퐁데자르갤러리,126.9793488993760917_37.5834943060582702,1000023001,갤러리스케이프,126.9802926936486500_37.5811058372642535,298.0,34.0,원활,126.9802926936486500_37.5811058372642535|126.9802967397338023_37.5811332572089398|126.9803028147339035_37.5812792426264579|126.9803115922597812_37.5821857328606441|126.9802868960512399_37.5824380961232620|126.9802122748901070_37.5826754278464534|126.9801012249592418_37.5828839711424081|126.9799682487228267_37.5830856738696752|126.9798351717180509_37.5832217786991762|126.9796839720406183_37.5833320316592037|126.9795023111846888_37.5834341801086822|126.9793488993760917_37.5834943060582702
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000017102,효자로,1000005203,효자동삼거리,126.9736127255228695_37.5835625507457465,1000024302,효자동 136-1,126.9727651070645038_37.5836899468878016,76.0,27.0,원활,126.9727651070645038_37.5836899468878016|126.9730868519890805_37.5836617458525453|126.9732850493551410_37.5836358134354498|126.9736127255228695_37.5835625507457465
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000017202,효자로,1000024301,효자동 136-1,126.9727799801869850_37.5837974155542724,1000005204,효자동삼거리,126.9736494719598028_37.5836666397267720,78.0,7.0,정체,126.9736494719598028_37.5836666397267720|126.9733145338289120_37.5837415255394376|126.9731053220007908_37.5837688997887582|126.9727799801869850_37.5837974155542724
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000017300,청와대로,1000024203,퐁데자르갤러리,126.9791795136897292_37.5834335611764701,1000005202,효자동삼거리,126.9737472613430214_37.5835385999729326,486.0,34.0,원활,126.9737472613430214_37.5835385999729326|126.9739495073895483_37.5835089975692114|126.9741309391237110_37.5835057794776830|126.9743076583270351_37.5835171156289292|126.9752337920588730_37.5836985645955508|126.9754323254462349_37.5837264891222063|126.9757360888294073_37.5837476748394224|126.9763499836077330_37.5837643209452068|126.9766286175151322_37.5837433697827379|126.9789929139192566_37.5834750307908365|126.9791275283093626_37.5834477041164519|126.9791795136897292_37.5834335611764701
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000017400,청와대로,1000005201,효자동삼거리,126.9737718367323538_37.5836449359611962,1000024204,퐁데자르갤러리,126.9792234607305943_37.5835358668880062,488.0,31.3,원활,126.9792234607305943_37.5835358668880062|126.9791663527855263_37.5835514035953580|126.9790193732068246_37.5835812400857776|126.9766446063162135_37.5838507686442966|126.9763540772180477_37.5838726139501844|126.9757278388116646_37.5838556337628376|126.9754145390009228_37.5838337820068062|126.9752057008707880_37.5838044082914848|126.9742858206583094_37.5836241849198771|126.9741269844044211_37.5836139960176467|126.9739633976216311_37.5836168972867881|126.9737718367323538_37.5836449359611962
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000034400,새문안로3길,1000018004,서울특별시경찰청,126.9726181216856418_37.5753302820372284,1000019803,경복궁역사거리,126.9725722748504069_37.5758532725264089,58.0,29.0,원활,126.9725722748504069_37.5758532725264089|126.9726181216856418_37.5753302820372284
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000035200,사직로,1000020200,경복궁,126.9786283706113750_37.5757946408291801,1000020600,대한출판문화협회,126.9794687888132074_37.5765544121067592,118.0,21.0,서행,126.9794687888132074_37.5765544121067592|126.9794368084534142_37.5764098329770562|126.9791960602808700_37.5761637733622180|126.9789750836954596_37.5759177176703147|126.9788694300669647_37.5758537146814078|126.9786283706113750_37.5757946408291801
2026-08-09T00:39:52.053874+09:00,경복궁,경복궁,POI008,KEY_1,1000035300,삼청로,1000021000,대한출판문화협회,126.9796046197648423_37.5765527706146756,1000020300,경복궁,126.9801205068413168_37.5759892604625989,93.0,29.0,원활,126.9801205068413168_37.5759892604625989|126.9797298312382878_37.5760780464987292|126.9796597331679635_37.5761137931100748|126.9796040049640879_37.5761795786155588|126.9796046197648423_37.5765527706146756
