fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SBIKE_SPOT_NM,SBIKE_SPOT_ID,SBIKE_SHARED,SBIKE_PARKING_CNT,SBIKE_RACK_CNT,SBIKE_X,SBIKE_Y
2026-06-20T01:10:27.796922+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,310. 청계광장 옆,ST-126,75,6,8,126.9774704,37.56887817
2026-06-20T01:10:27.796922+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,391. 시립미술관,ST-977,100,8,8,126.97340393,37.56505203
2026-06-20T01:10:27.796922+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,4719. 종로문화원 건너편,ST-3090,7,1,15,126.9805069,37.57571411
2026-06-20T01:10:27.796922+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,4796. 서울시청,ST-2693,25,5,20,126.97925568,37.5664711
2026-06-20T01:10:27.796922+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,6058. 시청역 2번출구,ST-3297,147,22,15,126.97702026,37.56557846
2026-06-20T01:10:27.796922+09:00,보신각,보신각,POI010,KEY_3,316. 종각역 1번출구 앞,ST-132,175,14,8,126.98178864,37.57039642
2026-06-20T01:10:27.796922+09:00,보신각,보신각,POI010,KEY_3,385. 종각역 5번출구,ST-336,20,2,10,126.98265839,37.56983566
2026-06-20T01:10:27.796922+09:00,보신각,보신각,POI010,KEY_3,3408.종로타워빌딩,ST-1805,8,1,13,126.98323822,37.57070541
2026-06-20T01:10:27.796922+09:00,보신각,보신각,POI010,KEY_3,4708. 조계사앞사거리,ST-2472,67,4,6,126.98283386,37.5721817
2026-06-20T01:10:27.796922+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,1007.암사동 선사유적지,ST-491,136,19,14,127.13087463,37.55955887
2026-06-20T01:10:27.796922+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,3539. 서원마을,ST-1686,40,4,10,127.13283539,37.56379318
2026-06-20T01:10:27.796922+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,359. 원남동사거리,ST-174,100,8,8,126.99768066,37.57606125
2026-06-20T01:10:27.796922+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,337. 창경궁 입구,ST-153,60,3,5,126.99647522,37.57897949
2026-06-20T01:10:27.796922+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,338. 세운스퀘어 앞,ST-154,0,0,18,126.99712372,37.57095718
2026-06-20T01:10:27.796922+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,3411.종묘,ST-1808,78,7,9,126.99437714,37.57072067
2026-06-20T01:10:27.796922+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,3410.종로3가역 8번출구,ST-1807,160,16,10,126.99188995,37.5724678
