fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SBIKE_SPOT_NM,SBIKE_SPOT_ID,SBIKE_SHARED,SBIKE_PARKING_CNT,SBIKE_RACK_CNT,SBIKE_X,SBIKE_Y
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,303. 광화문역 1번출구 앞,ST-119,13,1,8,126.97466278,37.57176971
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,391. 시립미술관,ST-977,63,5,8,126.97340393,37.56505203
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,458. 광화문역 5번출구,ST-1611,10,2,21,126.97756958,37.56989288
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,468.웨스틴 조선호텔,ST-1774,75,6,8,126.97948456,37.56415939
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,309. 광화문역 6번출구 옆 B,ST-125,31,4,13,126.97615814,37.56996155
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,305. 종로구청 옆,ST-121,50,8,16,126.97833252,37.57255936
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,6058. 시청역 2번출구,ST-3297,27,4,15,126.97702026,37.56557846
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,4719. 종로문화원 건너편,ST-3090,0,0,15,126.9805069,37.57571411
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,4796. 서울시청,ST-2693,20,4,20,126.97925568,37.5664711
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,4718. 광화문역 6번출구 옆 A,ST-3075,10,1,10,126.9764328,37.56993103
2026-05-10T23:42:58.218574+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,310. 청계광장 옆,ST-126,13,1,8,126.9774704,37.56887817
