fetched_at,place_name,AREA_NM,AREA_CD,_key_used,CHARGER_STTS__STAT_NM,CHARGER_STTS__STAT_ID,CHARGER_STTS__STAT_ADDR,CHARGER_STTS__STAT_X,CHARGER_STTS__STAT_Y,CHARGER_STTS__STAT_USETIME,CHARGER_STTS__STAT_PARKPAY,CHARGER_STTS__STAT_LIMITYN,CHARGER_STTS__STAT_LIMITDETAIL,CHARGER_STTS__STAT_KINDDETAIL
2026-06-28T00:36:32.698557+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-06-28T00:36:32.698557+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
2026-06-28T00:36:32.698557+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,서울시설공단신천유수지,PI760057,서울특별시 송파구 오금로 1,127.1032016,37.52178514,08:00~22:00,N,N,,공영주차장
2026-06-28T00:36:32.698557+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,서울시 이태원1동 주민센터,PI000340,서울특별시 용산구 보광로 104-6,126.9950671533,37.5325069957,평일09:00~18:00,,N,,Unknown
2026-06-28T01:34:25.620241+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-06-28T01:34:25.620241+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
2026-06-28T01:34:25.620241+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,서울시설공단신천유수지,PI760057,서울특별시 송파구 오금로 1,127.1032016,37.52178514,08:00~22:00,N,N,,공영주차장
2026-06-28T01:34:25.620241+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,서울시 이태원1동 주민센터,PI000340,서울특별시 용산구 보광로 104-6,126.9950671533,37.5325069957,평일09:00~18:00,,N,,Unknown
2026-06-28T03:37:09.758156+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-06-28T03:37:09.758156+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
2026-06-28T03:37:09.758156+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,서울시설공단신천유수지,PI760057,서울특별시 송파구 오금로 1,127.1032016,37.52178514,08:00~22:00,N,N,,공영주차장
2026-06-28T03:37:09.758156+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,서울시 이태원1동 주민센터,PI000340,서울특별시 용산구 보광로 104-6,126.9950671533,37.5325069957,평일09:00~18:00,,N,,Unknown
2026-06-28T04:40:02.520204+09:00,경복궁,경복궁,POI008,KEY_1,경복궁주차장,CV002874,서울특별시 종로구 사직로 161,126.97872741,37.577568439,06:00 ~ 23:00,N,N,,관광지
2026-06-28T04:40:02.520204+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,서울시 잠실실내체육관,PI000664,서울특별시 송파구 올림픽로 25,127.0759402,37.5161998,24시간 이용가능,Y,N,,지자체시설
2026-06-28T04:40:02.520204+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,서울시설공단신천유수지,PI760057,서울특별시 송파구 오금로 1,127.1032016,37.52178514,08:00~22:00,N,N,,공영주차장
2026-06-28T04:40:02.520204+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,현대백화점유플렉스 신촌점,EV001941,서울특별시 서대문구 연세로 13,126.9365584,37.556737,08:00~24:00,N,N,,백화점
2026-06-28T04:40:02.520204+09:00,익선동,익선동,POI116,KEY_1,종로 피카디리플러스(B7F),CGA00035,서울특별시 종로구 돈화문로5가길 1,126.9912303,37.5710275,24시간 이용가능,N,N,,사업장(사옥)
2026-06-28T04:40:02.520204+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,기아 압구정사옥,CV004291,서울특별시 강남구 압구정로 417,127.04289399,37.527551000,24시간 이용가능,N,Y,직원 외 이용불가,사업장(사옥)
2026-06-28T04:40:02.520204+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,이태원2동 공영주차장,BT000149,서울특별시 용산구 회나무로 55,126.9927159,37.54047812,24시간 이용가능,N,N,,공영주차장
2026-06-28T04:40:02.520204+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4,서울시 동대문공영주차장(급속),EV003445,서울특별시 중구 마장로 22,127.01211146,37.567265557,24시간 이용가능,N,N,,공영주차장
2026-06-28T04:40:02.520204+09:00,교대역,교대역,POI018,KEY_3,케이타워(서초구),CSCS1049,서울특별시 서초구 서초대로 320,127.016447,37.494166,24시간 이용가능,Y,N,,마트(쇼핑몰)
2026-06-28T04:40:02.520204+09:00,구로역,구로역,POI020,KEY_1,NC 신구로점,EC110107,서울특별시 구로구 구로중앙로 152,126.88277306,37.501160171,24시간 이용가능,N,N,,백화점
2026-06-28T04:40:02.520204+09:00,군자역,군자역,POI021,KEY_2,서울광진 호텔부티크나인,EV007093,서울특별시 광진구 천호대로 560,127.0801062,37.5564558,24시간 이용가능,Y,N,,숙박시설
2026-06-28T04:40:02.520204+09:00,미아사거리역,미아사거리역,POI026,KEY_2,송중동 공영주차장,BT000093,서울특별시 강북구 월계로7길 36,127.033636,37.611612,24시간 이용가능,Y,N,,관공서
2026-06-28T04:40:02.520204+09:00,신림역,신림역,POI039,KEY_4,서울관악우체국,EC004958,서울특별시 관악구 남부순환로 1643,126.9331367,37.4850143,평일 09:00~18:00,Y,N,,공공기관
2026-06-28T04:40:02.520204+09:00,잠실역,잠실역,POI119,KEY_4,서울시 잠실역공영주차장(급속),EV003440,서울특별시 송파구 올림픽로 지하 265,127.1018579,37.5138593,24시간 이용가능,N,N,,공영주차장
2026-06-28T04:40:02.520204+09:00,충정로역,충정로역,POI052,KEY_1,센트럴플레이스,ALAL0018,서울특별시 중구 서소문로 50,126.967022,37.560949,24시간 이용가능,N,N,,기타
