fold,n_train,n_test,rmse,mae,r2,mape,recall@3,ndcg@3,hit@3,recall@5,ndcg@5,hit@5,recall@10,ndcg@10,hit@10
fold1_train20231-20234_test20241-20242,1696,848,0.29015402264834617,0.18955485857389776,0.9469413807681398,0.8312886632149044,0.8333333333333333,0.99947148102004,1.0,1.0,0.9999422568623816,1.0,0.85,0.9982415484909439,1.0
fold2_train20231-20242_test20243-20244,2544,848,0.050615600721093,0.032839642090581565,0.9984371153314695,0.14718573718271485,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9996395784968608,1.0
fold3_train20231-20244_test20251-20252,3392,850,0.11115086565667155,0.042651464807250176,0.9926048994578186,0.19368054647878366,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9999898214486614,1.0
fold4_train20231-20252_test20253-20254,4242,850,0.06964097608418919,0.030548357059982007,0.9970419896370373,0.13662550729826411,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9999072296541038,1.0
