adstr_cd,dong_nm,category,pred_sales,pred_sales_백만원,rank
11170510,후암동,커피-음료,872640500.0,872.6,2
11170510,후암동,양식음식점,699123100.0,699.1,3
11170520,용산2가동,양식음식점,3179202300.0,3179.2,1
11170520,용산2가동,한식음식점,2029522800.0,2029.5,2
11170520,용산2가동,커피-음료,1417519100.0,1417.5,3
11170530,남영동,한식음식점,25538265000.0,25538.3,1
11170530,남영동,호프-간이주점,6429359600.0,6429.4,2
11170530,남영동,커피-음료,3796742400.0,3796.7,3
11170555,청파동,한식음식점,8332056600.0,8332.1,1
11170555,청파동,커피-음료,2001338100.0,2001.3,2
11170555,청파동,분식전문점,1915819300.0,1915.8,3
11170560,원효로1동,한식음식점,10314437000.0,10314.4,1
11170560,원효로1동,호프-간이주점,1968304400.0,1968.3,2
11170560,원효로1동,커피-음료,1119202400.0,1119.2,3
11170570,원효로2동,한식음식점,1427770600.0,1427.8,1
11170570,원효로2동,중식음식점,484950560.0,485.0,2
11170570,원효로2동,커피-음료,239246050.0,239.2,3
11170580,효창동,한식음식점,678320640.0,678.3,1
11170580,효창동,제과점,409952000.0,410.0,2
11170580,효창동,커피-음료,336965920.0,337.0,3
11170590,용문동,한식음식점,4018237000.0,4018.2,1
11170590,용문동,호프-간이주점,375028200.0,375.0,2
11170590,용문동,분식전문점,288526940.0,288.5,3
11170625,한강로동,한식음식점,38855586000.0,38855.6,1
11170625,한강로동,커피-음료,5986264600.0,5986.3,2
11170625,한강로동,양식음식점,3705623300.0,3705.6,3
11170630,이촌1동,한식음식점,4027705600.0,4027.7,1
11170630,이촌1동,일식음식점,2114628700.0,2114.6,2
11170630,이촌1동,호프-간이주점,1115585700.0,1115.6,3
11170640,이촌2동,중식음식점,95844050.0,95.8,1
11170640,이촌2동,한식음식점,65889300.0,65.9,2
11170640,이촌2동,치킨전문점,52981220.0,53.0,3
11170650,이태원1동,양식음식점,14748085000.0,14748.1,1
11170650,이태원1동,한식음식점,13342731000.0,13342.7,2
11170650,이태원1동,호프-간이주점,11076165000.0,11076.2,3
11170660,이태원2동,양식음식점,5682348000.0,5682.3,1
11170660,이태원2동,호프-간이주점,2372824800.0,2372.8,2
11170660,이태원2동,한식음식점,1544801300.0,1544.8,3
11170685,한남동,한식음식점,18591269000.0,18591.3,1
11170685,한남동,양식음식점,10886406000.0,10886.4,2
11170685,한남동,호프-간이주점,7296572000.0,7296.6,3
11170690,서빙고동,한식음식점,706009500.0,706.0,1
11170690,서빙고동,제과점,88692160.0,88.7,2
11170690,서빙고동,중식음식점,85090170.0,85.1,3
11170700,보광동,한식음식점,2392566800.0,2392.6,1
11170700,보광동,호프-간이주점,446329820.0,446.3,2
11170700,보광동,커피-음료,121732696.0,121.7,3
11200520,왕십리2동,한식음식점,2369794600.0,2369.8,1
11200520,왕십리2동,제과점,236282910.0,236.3,2
11200520,왕십리2동,호프-간이주점,233736020.0,233.7,3
11200535,왕십리도선동,한식음식점,9186808000.0,9186.8,1
11200535,왕십리도선동,호프-간이주점,1296998100.0,1297.0,2
11200535,왕십리도선동,커피-음료,451814140.0,451.8,3
11200540,마장동,한식음식점,9679690000.0,9679.7,1
11200540,마장동,호프-간이주점,761464600.0,761.5,2
11200540,마장동,커피-음료,504539140.0,504.5,3
11200550,사근동,한식음식점,10501534000.0,10501.5,1
11200550,사근동,호프-간이주점,3268866600.0,3268.9,2
11200550,사근동,커피-음료,2397729000.0,2397.7,3
11200560,행당1동,한식음식점,8651154000.0,8651.2,1
11200560,행당1동,커피-음료,835307260.0,835.3,2
11200560,행당1동,호프-간이주점,667814460.0,667.8,3
11200570,행당2동,한식음식점,535741900.0,535.7,1
11200570,행당2동,제과점,84054420.0,84.1,2
11200570,행당2동,패스트푸드점,58168956.0,58.2,3
11200580,응봉동,한식음식점,275773660.0,275.8,1
11200580,응봉동,제과점,113017440.0,113.0,2
11200580,응봉동,중식음식점,112274900.0,112.3,3
11200590,금호1가동,한식음식점,869838800.0,869.8,1
11200590,금호1가동,제과점,199169120.0,199.2,2
11200590,금호1가동,커피-음료,76058590.0,76.1,3
11200615,금호2·3가동,한식음식점,5205324000.0,5205.3,1
11200615,금호2·3가동,호프-간이주점,521493060.0,521.5,2
11200615,금호2·3가동,분식전문점,498060320.0,498.1,3
11200620,금호4가동,한식음식점,2921944000.0,2921.9,1
11200620,금호4가동,호프-간이주점,439325470.0,439.3,2
11200620,금호4가동,분식전문점,167459260.0,167.5,3
11200645,옥수동,한식음식점,1785137200.0,1785.1,1
11200645,옥수동,양식음식점,287148380.0,287.1,2
11200645,옥수동,호프-간이주점,258806100.0,258.8,3
11200650,성수1가1동,한식음식점,4736763000.0,4736.8,1
11200650,성수1가1동,양식음식점,997172350.0,997.2,2
11200650,성수1가1동,커피-음료,995048260.0,995.0,3
11200660,성수1가2동,한식음식점,15794104000.0,15794.1,1
11200660,성수1가2동,커피-음료,5270018600.0,5270.0,2
11200660,성수1가2동,호프-간이주점,1766697000.0,1766.7,3
11200670,성수2가1동,한식음식점,12842034000.0,12842.0,1
11200670,성수2가1동,커피-음료,2673380900.0,2673.4,2
11200670,성수2가1동,호프-간이주점,1574720000.0,1574.7,3
11200690,성수2가3동,한식음식점,27616029000.0,27616.0,1
11200690,성수2가3동,커피-음료,4948222500.0,4948.2,2
11200690,성수2가3동,호프-간이주점,2681777000.0,2681.8,3
11200720,송정동,한식음식점,919078140.0,919.1,1
11200720,송정동,커피-음료,95924880.0,95.9,2
11200720,송정동,제과점,87741660.0,87.7,3
11200790,용답동,한식음식점,7549082600.0,7549.1,1
11200790,용답동,호프-간이주점,818001800.0,818.0,2
11200790,용답동,커피-음료,652605900.0,652.6,3
11215710,화양동,한식음식점,25270747000.0,25270.7,1
11215710,화양동,호프-간이주점,11168637000.0,11168.6,2
11215710,화양동,커피-음료,5636289500.0,5636.3,3
11215730,군자동,한식음식점,11248164000.0,11248.2,1
11215730,군자동,호프-간이주점,2376434700.0,2376.4,2
11215730,군자동,커피-음료,1396301300.0,1396.3,3
11215740,중곡1동,한식음식점,7741603000.0,7741.6,1
11215740,중곡1동,호프-간이주점,1616044000.0,1616.0,2
11215740,중곡1동,커피-음료,236130640.0,236.1,3
11215750,중곡2동,한식음식점,6576795600.0,6576.8,1
11215750,중곡2동,호프-간이주점,1333666800.0,1333.7,2
11215750,중곡2동,커피-음료,433639420.0,433.6,3
11215760,중곡3동,한식음식점,3276644400.0,3276.6,1
11215760,중곡3동,호프-간이주점,1114805100.0,1114.8,2
11215760,중곡3동,커피-음료,474662720.0,474.7,3
11215770,중곡4동,한식음식점,6013845000.0,6013.8,1
11215770,중곡4동,호프-간이주점,1297683600.0,1297.7,2
11215770,중곡4동,커피-음료,807773600.0,807.8,3
11215780,능동,한식음식점,6877189600.0,6877.2,1
11215780,능동,호프-간이주점,1606703900.0,1606.7,2
11215780,능동,커피-음료,883375000.0,883.4,3
11215810,광장동,한식음식점,4580357000.0,4580.4,1
11215810,광장동,커피-음료,1732413400.0,1732.4,2
11215810,광장동,제과점,647715100.0,647.7,3
11215820,자양1동,한식음식점,7055467500.0,7055.5,1
11215820,자양1동,호프-간이주점,638424060.0,638.4,2
11215820,자양1동,중식음식점,486017280.0,486.0,3
11215830,자양2동,한식음식점,4187072800.0,4187.1,1
11215830,자양2동,호프-간이주점,742162940.0,742.2,2
11215830,자양2동,커피-음료,530500100.0,530.5,3
11215840,자양3동,한식음식점,6927137000.0,6927.1,1
11215840,자양3동,커피-음료,2229318000.0,2229.3,2
11215840,자양3동,제과점,595866000.0,595.9,3
11215847,자양4동,한식음식점,8567849500.0,8567.8,1
11215847,자양4동,중식음식점,5663380500.0,5663.4,2
11215847,자양4동,호프-간이주점,1445388900.0,1445.4,3
11215850,구의1동,한식음식점,13458875000.0,13458.9,1
11215850,구의1동,호프-간이주점,3051612200.0,3051.6,2
11215850,구의1동,커피-음료,819960700.0,820.0,3
11215860,구의2동,한식음식점,6947129300.0,6947.1,1
11215860,구의2동,호프-간이주점,614483100.0,614.5,2
11215860,구의2동,커피-음료,531762340.0,531.8,3
11215870,구의3동,한식음식점,11554728000.0,11554.7,1
11215870,구의3동,커피-음료,1821457200.0,1821.5,2
11215870,구의3동,호프-간이주점,914407740.0,914.4,3
11230536,용신동,한식음식점,17013547000.0,17013.5,1
11230536,용신동,호프-간이주점,2123597700.0,2123.6,2
11230536,용신동,제과점,1505833200.0,1505.8,3
11230545,제기동,한식음식점,13572457000.0,13572.5,1
11230545,제기동,호프-간이주점,815366140.0,815.4,2
11230545,제기동,중식음식점,741547400.0,741.5,3
11230560,전농1동,한식음식점,6292402000.0,6292.4,1
11230560,전농1동,호프-간이주점,1329476200.0,1329.5,2
11230560,전농1동,분식전문점,1068362000.0,1068.4,3
11230570,전농2동,한식음식점,1618715600.0,1618.7,1
11230570,전농2동,중식음식점,419661700.0,419.7,2
11230570,전농2동,분식전문점,418174720.0,418.2,3
11230600,답십리1동,한식음식점,4377348000.0,4377.3,1
11230600,답십리1동,커피-음료,555784400.0,555.8,2
11230600,답십리1동,호프-간이주점,319987870.0,320.0,3
11230610,답십리2동,한식음식점,8335951400.0,8336.0,1
11230610,답십리2동,호프-간이주점,601698560.0,601.7,2
11230610,답십리2동,분식전문점,419452030.0,419.5,3
11230650,장안1동,한식음식점,18535965000.0,18536.0,1
11230650,장안1동,호프-간이주점,2284937200.0,2284.9,2
11230650,장안1동,커피-음료,1414572400.0,1414.6,3
11230660,장안2동,한식음식점,14809705000.0,14809.7,1
