fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SUB_STN_NM,SUB_STN_LINE,SUB_STN_RADDR,SUB_STN_JIBUN,SUB_STN_X,SUB_STN_Y,SUB_FACIINFO,SUB_DETAIL
2026-06-12T00:22:23.638213+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,종로3가,3,서울특별시 종로구 돈화문로 지하30(묘동),,126.991791,37.571605,,
2026-06-12T00:22:23.638213+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,동대문,1,서울특별시 종로구 종로 지하302(창신동),,127.01093,37.571687,,
2026-06-12T00:22:23.638213+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,동대문,4,서울특별시 종로구 율곡로 지하308(종로6가),,127.009287,37.57093,,
2026-06-12T00:22:23.638213+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,동묘앞,6,서울특별시 종로구 지봉로 지하24(숭인동),,127.015653,37.572279,,
2026-06-12T00:22:23.638213+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,종각,1,서울특별시 종로구 종로 지하55(종로1가),,126.982923,37.570161,,
2026-06-12T00:22:23.638213+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,광화문,5,서울특별시 종로구 세종대로 지하172(세종로),,126.97717,37.571525,,
2026-06-12T00:22:23.638213+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,종로5가,1,서울특별시 종로구 종로 지하216(종로5가),,127.001849,37.570926,,
2026-06-12T00:22:23.638213+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,합정,6,서울특별시 마포구 양화로 지하45(합정동),,126.913366,37.549209,,
2026-06-12T00:22:23.638213+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,망원,6,서울특별시 마포구 월드컵로 지하77(망원동),,126.910052,37.556094,,
2026-06-12T00:22:23.638213+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,홍대입구,경의중앙,서울시 마포구 양화로 지하 188,,126.926683,37.557641,,
2026-06-12T00:22:23.638213+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,홍대입구,공항철도,서울특별시 마포구 양화로 188,,126.926715,37.557438,,
