fetched_at,place_name,AREA_NM,AREA_CD,_key_used,SUB_STN_NM,SUB_STN_LINE,SUB_STN_RADDR,SUB_STN_JIBUN,SUB_STN_X,SUB_STN_Y,SUB_FACIINFO
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,경복궁,3,서울특별시 종로구 사직로 지하130(적선동),,126.97353,37.575762,
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,시청,1,서울특별시 중구 세종대로 지하101(정동),,126.977088,37.565715,
2026-05-11T00:04:44.154338+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_1,광화문,5,서울특별시 종로구 세종대로 지하172(세종로),,126.97717,37.571525,
