fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST
2026-06-10T00:16:33.241304+09:00,서리풀공원·몽마르뜨공원,서리풀공원·몽마르뜨공원,POI098,KEY_3,2026-06-10 00:10,17.6,26.0,17.0,71,ESE,0.8,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,6,좋음,19,보통,75.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,서울숲공원,서울숲공원,POI101,KEY_1,2026-06-10 00:10,19.9,26.0,18.0,54,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,좋음,20,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,송현녹지광장,송현녹지광장,POI129,KEY_2,2026-06-10 00:10,18.7,26.0,17.0,60,SE,2.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,17,좋음,20,보통,71.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,아차산,아차산,POI102,KEY_3,2026-06-10 00:10,20.3,26.0,17.0,54,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,25,보통,76.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,안양천,안양천,POI125,KEY_4,2026-06-10 00:10,19.9,26.0,17.0,57,ESE,0.8,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,16,보통,69.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,양화한강공원,양화한강공원,POI103,KEY_1,2026-06-10 00:10,19.9,26.0,17.0,57,ESE,0.8,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,15,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,어린이대공원,어린이대공원,POI104,KEY_2,2026-06-10 00:10,21.0,26.0,17.0,53,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,25,보통,76.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,여의도한강공원,여의도한강공원,POI105,KEY_3,2026-06-10 00:10,20.5,26.0,17.0,60,SE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,15,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,여의서로,여의서로,POI126,KEY_4,2026-06-10 00:10,20.5,26.0,17.0,60,SE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,15,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,올림픽공원,올림픽공원,POI127,KEY_1,2026-06-10 00:10,21.0,26.0,17.0,53,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,20,보통,69.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,월드컵공원,월드컵공원,POI106,KEY_2,2026-06-10 00:10,19.5,26.0,16.0,68,SE,1.2,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,7,좋음,15,보통,71.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,응봉산,응봉산,POI107,KEY_3,2026-06-10 00:10,19.9,26.0,18.0,54,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,좋음,20,보통,73.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,이촌한강공원,이촌한강공원,POI108,KEY_4,2026-06-10 00:10,19.9,26.0,17.0,54,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,21,보통,72.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,잠실종합운동장,잠실종합운동장,POI109,KEY_1,2026-06-10 00:10,19.3,27.0,17.0,53,ESE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,20,보통,69.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,잠실한강공원,잠실한강공원,POI110,KEY_2,2026-06-10 00:10,21.0,26.0,17.0,53,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,25,보통,76.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-06-10T00:16:33.241304+09:00,잠원한강공원,잠원한강공원,POI111,KEY_3,2026-06-10 00:10,19.9,26.0,18.0,54,SE,1.7,-,없음,비 또는 눈 소식이 없어요.,05:11,19:52,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,19,보통,76.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
