fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__SENSIBLE_TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST,WEATHER_STTS__FCST24HOURS
2026-05-14T00:11:23.979686+09:00,고척돔,고척돔,POI086,KEY_2,2026-05-14 00:10,18.5,19.4,31.0,16.0,66,SE,0.5,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,좋음,20,보통,63.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3,2026-05-14 00:10,20.3,21.1,31.0,16.0,64,ENE,0.9,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,26,보통,62.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,광화문광장,광화문광장,POI088,KEY_4,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,13,좋음,19,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,국립중앙박물관·용산가족공원,국립중앙박물관·용산가족공원,POI089,KEY_1,2026-05-14 00:10,18.3,19.6,31.0,16.0,72,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,23,보통,57.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,난지한강공원,난지한강공원,POI090,KEY_2,2026-05-14 00:10,16.8,18.6,32.0,15.0,80,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,5,좋음,11,보통,65.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,남산공원,남산공원,POI091,KEY_3,2026-05-14 00:10,17.9,19.3,31.0,16.0,73,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,7,좋음,17,좋음,46.0,,대기질에 이상이 없어요.,,
2026-05-14T00:11:23.979686+09:00,노들섬,노들섬,POI092,KEY_4,2026-05-14 00:10,17.9,19.6,31.0,16.0,78,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,23,보통,57.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,2026-05-14 00:10,18.3,19.6,31.0,16.0,72,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,21,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,망원한강공원,망원한강공원,POI094,KEY_2,2026-05-14 00:10,17.9,19.6,31.0,16.0,78,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,11,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
2026-05-14T00:11:23.979686+09:00,반포한강공원,반포한강공원,POI095,KEY_3,2026-05-14 00:10,18.3,19.6,31.0,16.0,72,ESE,1.8,-,없음,비 또는 눈 소식이 없어요.,05:25,19:32,0,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,11,좋음,23,보통,57.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,,
