fetched_at,place_name,AREA_NM,AREA_CD,_key_used,WEATHER_STTS__WEATHER_TIME,WEATHER_STTS__TEMP,WEATHER_STTS__SENSIBLE_TEMP,WEATHER_STTS__MAX_TEMP,WEATHER_STTS__MIN_TEMP,WEATHER_STTS__HUMIDITY,WEATHER_STTS__WIND_DIRCT,WEATHER_STTS__WIND_SPD,WEATHER_STTS__PRECIPITATION,WEATHER_STTS__PRECPT_TYPE,WEATHER_STTS__PCP_MSG,WEATHER_STTS__SUNRISE,WEATHER_STTS__SUNSET,WEATHER_STTS__UV_INDEX_LVL,WEATHER_STTS__UV_INDEX,WEATHER_STTS__UV_MSG,WEATHER_STTS__PM25_INDEX,WEATHER_STTS__PM25,WEATHER_STTS__PM10_INDEX,WEATHER_STTS__PM10,WEATHER_STTS__AIR_IDX,WEATHER_STTS__AIR_IDX_MVL,WEATHER_STTS__AIR_IDX_MAIN,WEATHER_STTS__AIR_MSG,WEATHER_STTS__NEWS_LIST
2026-05-12T12:20:41.585376+09:00,신촌·이대역,신촌·이대역,POI040,KEY_3,2026-05-12 12:21,20.7,21.6,22.0,15.0,66,SSE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,13,좋음,25,보통,56.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,쌍문역,쌍문역,POI070,KEY_1,2026-05-12 12:21,20.0,21.0,23.0,14.0,67,NE,0.5,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,12,좋음,23,보통,52.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,양재역,양재역,POI041,KEY_2,2026-05-12 12:21,22.0,22.5,23.0,15.0,60,NNE,2.0,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,10,좋음,25,보통,60.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,역삼역,역삼역,POI042,KEY_3,2026-05-12 12:21,22.0,22.5,23.0,15.0,60,NNE,2.0,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,7,좋음,22,보통,53.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,연신내역,연신내역,POI043,KEY_1,2026-05-12 12:21,20.5,21.1,22.0,14.0,61,SE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,26,보통,55.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,오목교역·목동운동장,오목교역·목동운동장,POI044,KEY_2,2026-05-12 12:21,21.3,21.9,23.0,15.0,61,SE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,8,좋음,19,보통,66.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,왕십리역,왕십리역,POI045,KEY_3,2026-05-12 12:21,20.9,21.8,23.0,15.0,66,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,18,좋음,25,좋음,50.0,,대기질에 이상이 없어요.,
2026-05-12T12:20:41.585376+09:00,용산역,용산역,POI046,KEY_1,2026-05-12 12:21,20.7,21.6,22.0,15.0,66,SSE,1.9,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,보통,38,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,이태원역,이태원역,POI047,KEY_2,2026-05-12 12:21,21.8,22.4,23.0,15.0,62,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,19,보통,38,보통,54.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,잠실새내역,잠실새내역,POI118,KEY_3,2026-05-12 12:21,21.3,21.7,23.0,15.0,59,SE,1.6,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",점검중,0,좋음,19,보통,55.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,잠실역,잠실역,POI119,KEY_1,2026-05-12 12:21,21.4,22.1,23.0,15.0,63,SSE,1.4,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",점검중,0,좋음,19,보통,55.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,장지역,장지역,POI048,KEY_2,2026-05-12 12:21,21.3,21.7,23.0,15.0,59,SE,1.6,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",점검중,0,좋음,19,보통,55.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
2026-05-12T12:20:41.585376+09:00,장한평역,장한평역,POI049,KEY_3,2026-05-12 12:21,20.9,21.8,23.0,15.0,66,SSE,1.5,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",보통,17,좋음,20,좋음,43.0,,대기질에 이상이 없어요.,
2026-05-12T12:20:41.585376+09:00,천호역,천호역,POI050,KEY_1,2026-05-12 12:21,21.4,22.1,23.0,15.0,63,SSE,1.4,-,없음,비 또는 눈 소식이 없어요.,05:26,19:32,6,높음,"햇볕에 노출 시 1-2시간 이내에도 피부 화상을 입을 수 있어 위험해요.한낮에는 실내나 그늘에 머물러주세요.외출시 긴 소매 옷, 모자, 선글라스를 착용해주세요.자외선 차단제를 정기적으로 발라주세요.",좋음,13,좋음,26,보통,59.0,,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,
