fetched_at,place_name,AREA_NM,AREA_CD,_key_used,LIVE_PPLTN_STTS__AREA_NM,LIVE_PPLTN_STTS__AREA_CD,LIVE_PPLTN_STTS__AREA_CONGEST_LVL,LIVE_PPLTN_STTS__AREA_CONGEST_MSG,LIVE_PPLTN_STTS__AREA_PPLTN_MIN,LIVE_PPLTN_STTS__AREA_PPLTN_MAX,LIVE_PPLTN_STTS__MALE_PPLTN_RATE,LIVE_PPLTN_STTS__FEMALE_PPLTN_RATE,LIVE_PPLTN_STTS__PPLTN_RATE_0,LIVE_PPLTN_STTS__PPLTN_RATE_10,LIVE_PPLTN_STTS__PPLTN_RATE_20,LIVE_PPLTN_STTS__PPLTN_RATE_30,LIVE_PPLTN_STTS__PPLTN_RATE_40,LIVE_PPLTN_STTS__PPLTN_RATE_50,LIVE_PPLTN_STTS__PPLTN_RATE_60,LIVE_PPLTN_STTS__PPLTN_RATE_70,LIVE_PPLTN_STTS__RESNT_PPLTN_RATE,LIVE_PPLTN_STTS__NON_RESNT_PPLTN_RATE,LIVE_PPLTN_STTS__REPLACE_YN,LIVE_PPLTN_STTS__PPLTN_TIME,LIVE_PPLTN_STTS__FCST_YN
2026-08-24T00:33:08.080206+09:00,경복궁,경복궁,POI008,KEY_1,경복궁,POI008,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,56.7,43.3,1.1,6.5,16.1,18.1,17.6,19.1,11.1,10.5,57.0,43.0,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,광화문·덕수궁,POI009,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4000,4500,57.3,42.7,1.4,4.0,20.5,19.9,20.1,17.8,9.9,6.3,44.8,55.2,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,보신각,보신각,POI010,KEY_3,보신각,POI010,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,62.2,37.8,0.7,3.6,29.8,21.9,17.6,13.2,8.6,4.8,40.0,60.0,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,서울 암사동 유적,서울 암사동 유적,POI011,KEY_4,서울 암사동 유적,POI011,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,51.8,48.2,4.2,8.3,10.7,13.5,15.8,16.9,16.2,14.5,77.0,23.0,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,창덕궁·종묘,창덕궁·종묘,POI012,KEY_1,창덕궁·종묘,POI012,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3500,4000,55.1,44.9,0.7,3.8,24.6,17.7,15.4,16.5,12.4,8.9,47.5,52.5,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,강남 MICE 관광특구,POI001,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,54.6,45.4,1.9,7.7,15.9,19.9,19.3,17.1,10.2,7.9,50.6,49.4,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,동대문 관광특구,POI002,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,18000,20000,50.2,49.8,1.0,3.1,15.7,21.3,21.6,18.1,11.9,7.4,51.3,48.7,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,명동 관광특구,POI003,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,59.7,40.3,0.9,3.3,20.5,20.4,20.3,17.3,10.7,6.6,46.9,53.1,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,이태원 관광특구,POI004,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,7000,7500,57.1,42.9,0.3,4.3,44.0,23.8,12.3,6.6,4.8,3.9,22.5,77.5,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,잠실 관광특구,POI005,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,52.5,47.5,0.3,5.8,25.2,24.6,17.5,13.4,7.8,5.5,34.5,65.5,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,종로·청계 관광특구,POI006,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,55.0,45.0,0.9,3.9,23.1,18.0,17.7,16.5,12.2,7.8,51.9,48.1,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,홍대 관광특구,POI007,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,40000,42000,51.0,49.0,0.9,7.0,37.6,19.0,11.8,10.2,7.0,6.3,49.3,50.7,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,강서한강공원,강서한강공원,POI085,KEY_1,강서한강공원,POI085,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,0,100,70.2,29.8,0.0,4.0,17.0,12.2,32.3,24.5,8.1,2.0,5.5,94.5,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,고척돔,고척돔,POI086,KEY_2,고척돔,POI086,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,600,700,52.5,47.5,0.4,5.6,6.9,26.5,22.3,16.0,12.6,9.6,56.0,44.0,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,광나루한강공원,광나루한강공원,POI087,KEY_3,광나루한강공원,POI087,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,50.4,49.6,0.5,4.9,14.4,16.2,21.5,19.8,14.2,8.5,41.0,59.0,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,광화문광장,광화문광장,POI088,KEY_4,광화문광장,POI088,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,900,1000,57.9,42.1,1.5,3.7,22.1,19.3,20.3,16.8,9.4,6.9,48.4,51.6,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,국립중앙박물관·용산가족공원,국립중앙박물관·용산가족공원,POI089,KEY_1,국립중앙박물관·용산가족공원,POI089,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,49.8,50.2,3.8,8.0,11.8,13.2,16.7,18.7,14.9,12.9,76.3,23.7,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,난지한강공원,난지한강공원,POI090,KEY_2,난지한강공원,POI090,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,600,700,58.5,41.5,1.0,5.9,20.5,23.2,18.9,18.3,6.6,5.5,15.9,84.1,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,남산공원,남산공원,POI091,KEY_3,남산공원,POI091,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,5000,5500,50.9,49.1,1.1,5.7,19.0,20.0,16.5,15.3,12.2,10.2,57.8,42.2,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,노들섬,노들섬,POI092,KEY_4,노들섬,POI092,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,100,200,47.9,52.1,0.0,10.3,17.7,18.2,22.9,14.1,10.6,6.1,12.9,87.1,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,뚝섬한강공원,뚝섬한강공원,POI093,KEY_1,뚝섬한강공원,POI093,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,50.8,49.2,0.2,7.7,21.3,16.3,16.2,14.6,14.0,9.7,45.0,55.0,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,망원한강공원,망원한강공원,POI094,KEY_2,망원한강공원,POI094,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,50.2,49.8,1.0,5.3,18.5,21.1,17.3,15.6,11.3,9.8,57.7,42.3,N,2026-08-24 00:05,Y
2026-08-24T00:33:08.080206+09:00,반포한강공원,반포한강공원,POI095,KEY_3,반포한강공원,POI095,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,53.4,46.6,0.1,6.5,30.3,19.4,18.8,13.3,9.0,2.7,12.1,87.9,N,2026-08-24 00:05,Y
